t_id	chr	strand	start	end	t_name	num_exons	length	UniProt_id	gene_name	cov	FPKM
28	3R	+	4130521	4137882	FBtr0302848	9	2390	*	Gfat1	0.000000	0.000000
29	3R	+	4130521	4137882	FBtr0302849	7	2339	*	Gfat1	0.000000	0.000000
30	3R	-	4137894	4138652	FBtr0114267	3	614	*	CR41601	0.000000	0.000000
31	3R	-	4160610	4162235	FBtr0333189	2	1567	*	CG40198	0.000000	0.000000
32	3R	-	4161508	4162235	FBtr0301809	2	669	*	CG40198	0.000000	0.000000
33	3R	+	4174632	4184473	FBtr0078962	3	3183	*	CG12581	0.000000	0.000000
34	3R	+	4174632	4186751	FBtr0078961	4	5393	*	CG12581	0.000000	0.000000
35	3R	+	4186963	4196210	FBtr0308946	6	1923	*	CR33294	0.000000	0.000000
36	3R	-	4189692	4190260	FBtr0078989	1	569	P09040	Dsk	0.000000	0.000000
37	3R	+	4191285	4196210	FBtr0308945	5	2046	*	CR33294	0.000000	0.000000
38	3R	+	4197206	4204572	FBtr0078964	9	3035	*	CG12582	7.556983	10.934341
39	3R	+	4197206	4204572	FBtr0306022	10	2922	*	CG12582	3.162103	4.575307
40	3R	+	4197206	4204572	FBtr0336703	9	3073	*	CG12582	0.000000	0.000000
41	3R	+	4197206	4204572	FBtr0336704	9	3029	*	CG12582	0.311090	0.450122
42	3R	+	4197308	4204565	FBtr0336702	8	3100	*	CG12582	3.247720	4.699188
43	3R	-	4204493	4215314	FBtr0078988	2	1462	*	CG14636	0.000000	0.000000
44	3R	-	4204493	4215314	FBtr0111206	2	1485	*	CG14636	0.000000	0.000000
45	3R	+	4211783	4227518	FBtr0078965	13	4410	*	aux	0.000000	0.000000
46	3R	-	4218463	4220130	FBtr0078987	1	1668	*	CG31516	0.000000	0.000000
47	3R	+	4220986	4227518	FBtr0078966	9	4312	*	aux	42.903259	62.077541
48	3R	+	4220986	4227518	FBtr0336705	9	4276	*	aux	0.978177	1.415343
49	3R	+	4220986	4227518	FBtr0336706	9	4288	*	aux	3.219699	4.658643
50	3R	-	4227387	4229238	FBtr0078986	5	1590	Q9VMY9	DhpD	0.000000	0.000000
51	3R	-	4230779	4232342	FBtr0078985	1	1564	*	CG14641	68.723785	99.437752
52	3R	+	4233047	4235041	FBtr0078967	1	1995	Q9V3C0	abs	15.495739	22.421080
53	3R	+	4235217	4241057	FBtr0078968	8	2836	Q07171	Gel	0.000000	0.000000
54	3R	+	4235217	4241057	FBtr0078969	10	2940	Q07171	Gel	0.000000	0.000000
55	3R	+	4235217	4241057	FBtr0078973	8	2807	Q07171	Gel	0.000000	0.000000
56	3R	+	4235217	4241057	FBtr0309256	9	2897	Q07171	Gel	0.000000	0.000000
57	3R	+	4235217	4241057	FBtr0336707	7	2584	Q07171	Gel	0.000000	0.000000
58	3R	+	4236788	4241057	FBtr0078971	7	2628	Q07171	Gel	0.000000	0.000000
59	3R	+	4236788	4241057	FBtr0309257	8	2839	Q07171	Gel	0.000000	0.000000
60	3R	-	4241045	4242717	FBtr0089688	5	1344	*	CG14642	0.000000	0.000000
61	3R	-	4241045	4242717	FBtr0309258	6	1305	*	CG14642	0.000000	0.000000
62	3R	-	4241200	4242717	FBtr0089687	5	1270	*	CG14642	0.000000	0.000000
63	3R	-	4242785	4243146	FBtr0112501	2	300	*	CG34305	0.000000	0.000000
64	3R	+	4243606	4245511	FBtr0113190	3	1074	*	TwdlU	0.000000	0.000000
65	3R	+	4247020	4248313	FBtr0078975	2	1235	*	TwdlF	0.000000	0.000000
66	3R	-	4248723	4249969	FBtr0336709	3	1013	*	TwdlG	0.000000	0.000000
67	3R	-	4248723	4250796	FBtr0078982	4	1620	*	TwdlG	0.000000	0.000000
68	3R	-	4248723	4251341	FBtr0346145	4	2165	*	TwdlG	0.000000	0.000000
69	3R	-	4251894	4253043	FBtr0078981	3	1034	*	CG14644	0.000000	0.000000
70	3R	-	4251894	4253043	FBtr0336708	3	995	*	CG14644	0.000000	0.000000
71	3R	+	4254708	4255833	FBtr0078976	2	1067	*	TwdlV	0.000000	0.000000
72	3R	+	4256972	4258444	FBtr0078977	6	1158	P82986	Or82a	0.000000	0.000000
73	3R	+	4266770	4268316	FBtr0336480	2	1492	*	CG1092	0.000000	0.000000
74	3R	+	4266952	4268316	FBtr0336481	2	1310	*	CG1092	0.000000	0.000000
75	3R	-	4269221	4277928	FBtr0113191	4	1502	*	CG9766	0.000000	0.000000
76	3R	-	4279673	4280057	FBtr0346235	1	385	*	CR45597	0.000000	0.000000
77	3R	+	4280221	4301541	FBtr0078897	7	3628	Q8IPM8	cpx	0.000000	0.000000
78	3R	+	4280221	4304604	FBtr0336482	5	9682	Q8IPM8	cpx	0.000000	0.000000
79	3R	+	4280385	4301541	FBtr0078898	7	3577	Q8IPM8	cpx	0.000000	0.000000
80	3R	+	4280385	4301541	FBtr0078899	7	3930	Q8IPM8	cpx	0.000000	0.000000
81	3R	+	4280385	4301541	FBtr0301768	7	5137	Q8IPM8	cpx	0.000000	0.000000
82	3R	+	4280385	4301541	FBtr0301769	7	3538	Q8IPM8	cpx	0.000000	0.000000
83	3R	+	4281705	4301541	FBtr0078900	7	3650	Q8IPM8	cpx	0.000000	0.000000
84	3R	+	4281705	4304604	FBtr0078902	6	2888	Q8IPM8	cpx	0.000000	0.000000
85	3R	+	4281838	4301541	FBtr0113338	7	3649	Q8IPM8	cpx	0.000000	0.000000
86	3R	+	4281838	4301541	FBtr0113340	7	3576	Q8IPM8	cpx	0.000000	0.000000
87	3R	+	4281838	4301541	FBtr0301770	7	3561	Q8IPM8	cpx	0.000000	0.000000
88	3R	+	4282164	4301541	FBtr0113341	7	3634	Q8IPM8	cpx	0.000000	0.000000
89	3R	+	4282164	4301541	FBtr0300789	8	3655	Q8IPM8	cpx	0.000000	0.000000
90	3R	+	4282164	4304604	FBtr0301771	6	8078	Q8IPM8	cpx	0.000000	0.000000
91	3R	+	4282625	4301541	FBtr0078901	6	3541	Q8IPM8	cpx	0.000000	0.000000
92	3R	+	4282625	4301541	FBtr0301772	7	3544	Q8IPM8	cpx	0.000000	0.000000
93	3R	+	4291738	4296962	FBtr0310506	3	2094	Q8IPM8	cpx	0.000000	0.000000
94	3R	+	4291738	4301541	FBtr0100500	5	3682	Q8IPM8	cpx	0.000000	0.000000
95	3R	+	4291738	4301541	FBtr0113337	5	3485	Q8IPM8	cpx	0.000000	0.000000
96	3R	+	4291738	4304604	FBtr0310614	5	3803	Q8IPM8	cpx	0.000000	0.000000
97	3R	-	4292274	4294840	FBtr0078959	2	2182	*	CG9780	0.000000	0.000000
98	3R	+	4294862	4301541	FBtr0100499	5	3233	Q8IPM8	cpx	0.000000	0.000000
99	3R	+	4295369	4295456	FBtr0304264	1	88	*	mir-929	0.000000	0.000000
100	3R	+	4295420	4295440	FBtr0304265	1	21	*	mir-929	0.000000	0.000000
