t_id	chr	strand	start	end	t_name	num_exons	length	UniProt_id	gene_name	cov	FPKM
159	3R	-	4436222	4437329	FBtr0078943	1	1108	Q9VN27	CG9804	8.772563	12.693188
202	3R	+	4641963	4643292	FBtr0078856	3	1098	Q8IH24	MED31	27.065239	39.161209
203	3R	+	4641963	4643292	FBtr0078857	4	823	Q8IH24	MED31	47.140511	68.208504
204	3R	+	4641963	4643292	FBtr0305312	4	818	Q8IH24	MED31	1.470596	2.127833
205	3R	+	4641963	4643292	FBtr0336456	3	1092	Q8IH24	MED31	0.843384	1.220308
206	3R	+	4641963	4643292	FBtr0345249	3	678	Q8IH24	MED31	0.000000	0.000000
207	3R	+	4641963	4644636	FBtr0301296	2	1139	Q9VN41	slx1	5.343610	7.731771
214	3R	+	4654800	4657985	FBtr0078861	4	2130	Q9VN45	spartin	0.600939	0.869510
215	3R	+	4655159	4657985	FBtr0308820	4	1962	Q9VN45	spartin	0.000000	0.000000
216	3R	+	4659579	4705261	FBtr0308849	9	5335	Q0KIC3	CG43427	0.000000	0.000000
217	3R	+	4659579	4705261	FBtr0308850	8	5897	Q0KIC3	CG43427	0.000000	0.000000
218	3R	+	4659579	4705261	FBtr0308851	9	5552	Q0KIC3	CG43427	0.000000	0.000000
219	3R	+	4659579	4711945	FBtr0308852	15	6180	Q0KIC3	CG43427	0.000000	0.000000
220	3R	+	4659579	4711945	FBtr0308855	14	6075	Q0KIC3	CG43427	0.000000	0.000000
221	3R	+	4659579	4711945	FBtr0308856	15	6282	Q0KIC3	CG43427	0.000000	0.000000
222	3R	+	4659579	4711945	FBtr0308857	14	7012	Q0KIC3	CG43427	0.000000	0.000000
223	3R	+	4659579	4712193	FBtr0308858	14	7014	Q0KIC3	CG43427	0.000000	0.000000
227	3R	+	4706146	4711945	FBtr0308853	6	3810	Q0KIC3	CG43427	0.000000	0.000000
228	3R	+	4706146	4712193	FBtr0308854	7	4163	Q0KIC3	CG43427	0.000000	0.000000
229	3R	-	4712882	4714182	FBtr0078892	1	1301	Q9VN50	CG9769	167.385086	242.192657
231	3R	-	4719458	4731878	FBtr0333922	9	3103	A0A0B4K692	Nep2	0.000000	0.000000
232	3R	-	4719798	4731878	FBtr0078891	9	2763	A0A0B4K692	Nep2	0.000000	0.000000
233	3R	-	4719798	4731878	FBtr0305133	10	2796	A0A0B4K692	Nep2	0.000000	0.000000
269	3R	+	4811444	4815812	FBtr0345175	5	2499	Q7JZB4	CG1129	5.416169	7.836758
270	3R	+	4813335	4815812	FBtr0078870	4	1641	Q7JZB4	CG1129	8.237056	11.918352
271	3R	+	4813335	4816025	FBtr0078871	5	1715	Q7JZB4	CG1129	0.000000	0.000000
272	3R	+	4813639	4816025	FBtr0345174	3	1612	Q7JZB4	CG1129	1.284017	1.857869
279	3R	+	4852813	4869979	FBtr0078836	3	2939	P39768	opa	0.000000	0.000000
283	3R	+	4906622	4910081	FBtr0078837	4	3208	P35600	Gnf1	44.310249	64.113342
284	3R	+	4906622	4910081	FBtr0100159	4	3274	P35600	Gnf1	3.840998	5.557612
291	3R	-	4948755	4952682	FBtr0078849	3	2166	P25153	Ubc6	18.655113	26.992437
292	3R	-	4949779	4952682	FBtr0306106	3	1142	P25153	Ubc6	35.382641	51.195812
307	3R	-	5077779	5087072	FBtr0308119	1	9294	P41046	corto	0.480931	0.695868
308	3R	-	5083176	5086712	FBtr0308118	1	3537	P41046	corto	1.263718	1.828498
309	3R	-	5083721	5086712	FBtr0345141	1	2992	P41046	corto	44.862663	64.912643
310	3R	-	5083721	5087072	FBtr0308120	1	3352	P41046	corto	1.333464	1.929414
311	3R	-	5084037	5087072	FBtr0078844	1	3036	P41046	corto	1.403219	2.030344
344	3R	-	5236092	5237315	FBtr0078825	3	960	Q9VN91	rtp	0.000000	0.000000
345	3R	-	5237651	5251745	FBtr0078822	5	1882	Q9VN93	CG12163	70.647537	102.221260
346	3R	-	5237651	5251745	FBtr0078823	6	2299	Q9VN93	CG12163	0.000000	0.000000
348	3R	-	5243152	5251745	FBtr0303994	2	1425	Q9VN93	CG12163	0.000000	0.000000
353	3R	-	5255444	5256681	FBtr0078821	3	867	Q9VN95	CG12173	11.979153	17.332863
356	3R	-	5258336	5262692	FBtr0078820	2	991	Q9VN97	Tim17a2	0.000000	0.000000
386	3R	+	5300145	5301186	FBtr0078784	3	785	Q9VNA0	Tim17b1	0.000000	0.000000
388	3R	+	5355092	5356748	FBtr0078785	5	945	Q9VNA4	CG1161	29.318518	42.421516
389	3R	+	5355092	5356748	FBtr0335000	4	1241	Q9VNA4	CG1161	2.346750	3.395557
